,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.230.000,3.100,1.300,2.957 ,1.751 ,1.521 ,1.367 ,1.318 ,1.206 ,,SCOOPY - SMART KEY,2.650,1.350,2.603,1.544,1.342,1.178,1.165,1.067 ,,,800,,,,,,,,,,,,,,,,,,,,,,
,,3.200,1.400,2.947 ,1.745 ,1.516 ,1.362 ,1.314 ,1.202 ,,26.230.000,2.700,1.400,2.598,1.541,1.340,1.175,1.163,1.065 ,,,800,,,,,,,,,,,,,,,,,,,,,,
,CB VERZA D,2.600,800,2.560,1.516,1.316,1.183,1.141,1.044 ,,,2.800,1.500,2.588,1.535,1.335,1.171,1.159,1.061,,,800,,,,,,,,,,,,,,,,,,,,,,
,25.820.000,2.700,900,2.550,1.510,1.311,1.179,1.137,1.040,,VARIO 125 - CBS,2.700,1.400,2.629,1.559,1.356,1.189,1.177,1.077 ,,,800,,,,,,,,,,,,,,,,,,,,,,
,,2.800,1.000,2.540,1.504,1.306,1.174,1.132,1.036,,26.530.000,2.800,1.500,2.619,1.554,1.350,1.185,1.172,1.073 ,,,800,,,,,,,,,,,,,,,,,,,,,,
,CB VERZA CW,2.650,850,2.622,1.552,1.348,1.212,1.169,1.069 ,,,2.900,1.600,2.609,1.548,1.345,1.180,1.168,1.069,,,800,,,,,,,,,,,,,,,,,,,,,,
,26.480.000,2.700,900,2.617,1.549,1.346,1.209,1.166,1.067,,VARIO 125 - ISS,2.850,1.550,2.801,1.662,1.445,1.267,1.254,1.148 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.800,1.000,2.607,1.544,1.341,1.205,1.162,1.063,,28.380.000,2.900,1.600,2.796,1.659,1.442,1.265,1.252,1.146,,,,,,,,,,,,,,,,,,,,,,,,,
,CB 150 R,3.600,1.800,3.453,2.044,1.776,1.596,1.540,1.408 ,,,3.000,1.700,2.786,1.653,1.437,1.261,1.247,1.142,,,,,,,,,,,,,,,,,,,,,,,,,
,35.620.000,3.700,1.900,3.443,2.039,1.771,1.592,1.535,1.405,,VARIO 125 - STREET,2.900,1.600,2.843,1.687,1.466,1.286,1.273,1.165 ,,,,,,,,,,,,,,,,,,,,,,,,,
